Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
2 x 0.19 x 2 inches,B01M9E254N,"March 7, 2017",Prime-Line Products,China,"#23,205 in Office Products (See Top 100 in Office Products)  #226 in Door Stops",White,MP10866,0.432 ounces,$4.38,$25.59,$0.00,13
4.75 x 4 x 0.63 inches,B077959TXL,"January 11, 2018",Prime-Line,China,"#54,673 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #203 in Sliding Door Hardware",Chrome,MP2082,1.89 ounces,$8.29,$25.47,$0.00,13
10.75 x 10 x 11 inches,B000052031,"June 15, 2006",No,USA,"#57,920 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #226 in Weather Stripping",Gray,2352,8 ounces,$6.72,$29.12,$0.00,13
3 x 3 x 2 inches,B002O176X2,None,DoorPRO Doorstop,USA,"#27,554 in Office Products (See Top 100 in Office Products)  #263 in Door Stops",None,CDP,1.44 ounces,$9.72,$25.35,$0.00,13
"36""L x 2.25""W",B0012I9G0E,"January 11, 2008",No,China,"#39,636 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #209 in Weather Stripping",White,06403,8 ounces,$11.45,$28.58,$16.08,13
4 x 0.13 x 0.1 inches,B08DLNPX54,"July 29, 2020",Design House,China,"#20,294 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #43 in Door Hinges",Matte Black,188946,1.52 pounds,$11.45,$31.05,$21.94,13
1.5 x 3.75 x 5.5 inches,B00GS8GBJC,"November 19, 2013",The Hillman Group,Taiwan,"#24,831 in Office Products (See Top 100 in Office Products)  #241 in Door Stops",White,852924,0.8 ounces,$5.79,$26.06,$0.00,13
"1.8""L x 16.61""W x 9.3""Th",B0B69MCTTD,"July 11, 2022",National Hardware,USA,"#20,744 in Office Products (See Top 100 in Office Products)  #211 in Door Stops",Matte Black with Matte Black Tip,N830-526,1.44 ounces,$8.38,$25.48,$0.00,13
37.25 x 6.25 x 2.25 inches,B002TILVTU,"October 2, 2010",M-D Building Products,China,"#55,010 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #54 in Thresholds",Mill,68627,5.3 ounces,$31.52,$33.85,$22.39,13
4.33 x 7.87 x 9.44 inches,B0C2F2RYWH,"April 13, 2023",Lifetime Brands Inc.,China,"#28,895 in Office Products (See Top 100 in Office Products)  #281 in Door Stops",Brown,5277283,2.2 pounds,$10.99,$36.75,$21.85,13
4.4 x 8.1 x 4.3 inches,B00GS8FSO6,"November 19, 2013",The Hillman Group,Taiwan,"#44,067 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #175 in Door Hinges",Brass,852622,3.84 ounces,$8.49,$25.95,$0.00,13
1 x 4 x 7.13 inches,B00E8HV334,"July 26, 2013",No,Taiwan,"#53,648 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #149 in Door Hinges",Brass,U 9133,0.64 ounces,$10.28,$26.95,$0.00,13
36.5 x 4 x 0.25 inches,B007NG5VY4,"April 4, 2012",M-D Building Products,China,"#68,316 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #71 in Thresholds",Mill,68361,1.82 pounds,$22.36,$32.37,$21.37,13
1.38 x 36 x 84 inches,B07RKQBDZH,None,SMARTSTANDARD,China,"#69,813 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #279 in Sliding Door Hardware",Black,SDHACC2PACK05,2 pounds,$17.99,$34.21,$26.48,N/A
5 x 4.75 x 6 inches,B00OPAQUAA,None,No,China,"#28,158 in Office Products (See Top 100 in Office Products)  #273 in Door Stops",None,72150,2 pounds,$15.00,$34.13,$0.00,13
4.38 x 1.31 x 0.06 inches,B002UC6SAC,"October 26, 2009",No,USA,"#58,248 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #217 in Sliding Door Hardware",Regular,20595,0.634 ounces,$9.23,$25.42,$0.00,13
5 x 5 x 7 inches,B076B22D5K,"October 9, 2017",70002,China,"#63,684 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #194 in Door Hinges",None,70002,5.6 ounces,$32.99,$26.39,$26.72,13
"10""L x 7.5""W",B01N0B9G6C,"November 10, 2016",National Hardware,USA,"#79,177 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #246 in Door Hinges",Black,N346-206,0.01 ounces,$41.91,$29.20,$35.37,13
"9.2""L x 4.8""W",B002KFZV20,"August 26, 2009",No,China,"#63,694 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #195 in Door Hinges",Black,N114-975,14.7 ounces,$21.15,$32.29,$27.07,13
"36""L x 1.75""W",B000NDZ234,"May 3, 2006",No,China,"#67,260 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #69 in Thresholds",Satin Nickel,49010,4.8 ounces,$12.93,$26.19,$0.00,13
4 x 0.09 x 4 inches,B08DLNJ746,"July 29, 2020",Design House,China,"#31,917 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #77 in Door Hinges",Matte Black,188987,1.52 pounds,$11.66,$31.05,$22.02,13
7.1 x 5.1 x 5.5 inches,B000BOALNG,"February 17, 2007",National Hardware,USA,"#32,967 in Office Products (See Top 100 in Office Products)  #319 in Door Stops",White,N215-897,1.8 ounces,$6.79,$25.44,$0.00,13
5 x 4.75 x 6 inches,B00OPBK5R8,None,No,China,"#32,020 in Office Products (See Top 100 in Office Products)  #311 in Door Stops",None,72158,2 pounds,$11.54,$36.44,$0.00,13
6.63 x 4 x 1 inches,B0778XZ8PD,"December 13, 2017",Prime-Line,China,"#75,051 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #305 in Sliding Door Hardware",White,MP6563-4,2.11 ounces,$6.99,$26.84,$0.00,13
"5""L x 1.63""W",B00FFVMGCY,"September 5, 2013",Prime-Line Products,China,"#66,370 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #263 in Sliding Door Hardware",White,C 1275,14.4 ounces,$82.13,$31.05,$55.17,13
"1""L x 0.87""W",B000I1EIF4,"January 12, 2007",No,China,"#77,023 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #310 in Sliding Door Hardware",Chrome,C 1045,9.8 ounces,$11.21,$27.54,$0.00,13
"3""D x 12""W x 18""H",B07BZ8YM3W,None,No,China,"#28,622 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #61 in Key Cabinets  #76 in Commercial Access Control",Grey,CB13264,8.25 pounds,$85.87,$80.16,$101.86,13
36 x 1.63 x 0.63 inches,B09SVYQFCN,"February 19, 2022",Thermwell Products,USA,"#88,246 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #97 in Thresholds",Silver,SB36H2,1.4 pounds,$49.47,$32.71,$31.27,13
6.6 x 4.4 x 3.3 inches,B000OCWYJ4,"August 17, 2005",No,China,"#41,867 in Office Products (See Top 100 in Office Products)  #385 in Door Stops",Solid Brass/Satin Nickel,N325-324,2.4 ounces,$11.44,$25.59,$0.00,13
1.75 x 1.75 x 6.5 inches,B0CYRYZVJV,"March 21, 2024",Security Equipment Corporation,China,"#35,911 in Office Products (See Top 100 in Office Products)  #342 in Door Stops",None,HS-DSA-B,5.4 ounces,$14.22,$27.54,$4.66,13
11.5 x 2 x 2.5 inches,B01FL9LFL2,"May 12, 2016",No,China,"#51,536 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #190 in Sliding Door Hardware",Black,FBA_SDR-2000-STANDARD-BK,1 pounds,$25.99,$43.98,$34.82,13
