Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
8.46 x 6.02 x 0.63 inches; 5.3 ounces,B08J2HXYPH,"September 15, 2020",INIU,China,Best Sellers Rank:#928 in Climate Pledge Friendly (See Top 100 in Climate Pledge Friendly)#28 inClimate Pledge Friendly: Computers#30 inUSB Cables,None,DI-D5CC,None,$10.99,$26.39,$0.00,12
2.71 x 2.71 x 1.91 inches,B08T1MWX6J,"February 23, 2021",Razer,China,#20 in Webcams,None,RZ19-03640100-R3U1,6.9 ounces,$92.48,$29.13,$45.46,12
2.71 x 2.71 x 1.91 inches,B08T1MWX6J,"February 23, 2021",Razer,China,#20 in Webcams,None,RZ19-03640100-R3U1,6.9 ounces,$92.48,$29.13,$45.46,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
1 x 1 x 1 inches,B07D93TR7Z,"June 5, 2018",LC3013BK,None,#766 in Office Products (See Top 100 in Office Products)  #62 in Inkjet Printer Ink Cartridges,Black,LC3013BK,0.8 ounces,None,None,None,12
