Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
"28""L x 34""W",B01D8N22HO,None,No,China,#442 in Pet Supplies (See Top 100 in Pet Supplies)  #12 in Disposable Dog Training Pads,White,100546613,16.4 pounds,None,None,None,13
8 x 4 x 1.5 inches,B00G5M75UK,"October 23, 2013",Best Pet Supplies,China,None,Brown/Wild Duck,PT08-S,0.03 Kilograms,$5.99,$27.52,$0.00,13
10 x 10 x 10 inches,B0002DI32C,"June 9, 2004",Doggie Dooley - pallet ordering,United States,None,"Blue, Red, Orange",1010,1.5 pounds,$18.95,$56.08,$36.80,13
3 x 3 x 3 inches,B076MN7BZD,"October 20, 2017",SportPet Designs,China,None,"blue, purple, torquoise",CM-0263-CS01,5.6 ounces,$10.95,$30.08,$7.51,13
11.75 x 8.25 x 1.11 inches,B001AQZDSW,"March 4, 2009",Canine Hardware,USA,None,Assorted,181001,0.13 Kilograms,$10.00,$27.78,$0.00,13
2.5 x 2.5 x 6.5 inches,B08CL33BMJ,"July 8, 2020",Fetch for Pets,China,None,None,FF12656,0.3 Kilograms,$6.94,$27.62,$0.00,13
5 x 5 x 3.75 inches,B000O8KOCM,"March 12, 2007",Outward Hound,USA,None,Blue,68743,13.28 ounces,$11.99,$31.84,$0.00,N/A
"22.5""L x 22.5""W",B08TJ42G5L,None,Fetch for Pets,China,"#1,958 in Pet Supplies (See Top 100 in Pet Supplies)  #28 in Disposable Dog Training Pads",White,FF16896,2.88 pounds,$13.69,$47.64,$0.00,13
10.1 x 10.1 x 2.8 inches,B01DOP5S9K,"September 9, 2016",Amazon,China,None,Stainless Steel,BXG-02,10.56 ounces,$17.73,$35.33,$38.43,13
18 x 9 x 2.75 inches,B004VOBKI2,"April 8, 2011",MidWest Homes For Pets,China,None,Grey,40218-GY,0.54 Pounds,$7.99,$40.90,$0.00,13
8.5 x 4.5 x 1.5 inches,B008MZM9TU,"July 19, 2012",No,China,"#2,355 in Pet Supplies (See Top 100 in Pet Supplies)  #29 in Dog Waste Bags",Blue,71041,5.9 ounces,$5.52,$26.76,$0.00,13
