Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
6.35 x 7.5 x 1.1 inches,B001BKXW94,"July 8, 2008",No,Finland,"#139,306 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #472 in Power Sander Hook & Loop Discs",Grey,9A-241-100RP,0.16 ounces,None,None,None,13
3.54 x 3.35 x 1.34 inches,B073PTVWM8,"July 3, 2017",No,None,"#302,709 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #583 in Manual Sanding Products  #2,512 in Power Sander Parts & Accessories",4 Pcs Set,ZL-37C-SJ-4PCS,1.62 ounces,None,None,None,N/A
"8""L x 1""W",B001O9C3BA,"January 6, 2009",No,China,"#431,237 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #900 in Sander Sheets  #6,713 in Abrasive & Finishing Products",None,RW9155,2.12 ounces,$14.95,$25.59,$10.71,13
None,B00YIZV2V4,"May 27, 2015",Forney,China,"#164,559 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #183 in Abrasive Cup Brushes",None,72797,0.01 ounces,$5.57,$26.15,$0.00,13
3.5 x 5 x 1 inches,B003HLEPHS,"April 16, 2010","Allway Tools, Inc.",USA,"#465,415 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #455 in Sanding Blocks",Black,184118,0.88 ounces,$2.79,$25.99,$0.00,13
12 x 12 x 0.13 inches,B007C6PHGC,"December 6, 2012",No,China,"#192,097 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #460 in Cut-Off Wheels",Multi,DWA8036,8 ounces,$6.69,$29.38,$0.00,13
"5""L x 5""W",B0D1686R14,"January 1, 2024",FLEX,Germany,"#174,801 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #228 in Flap Discs",Grey/Black,FA302006,3.89 ounces,$15.99,$25.95,$19.41,13
"5""L x 5""W",B0D1637N52,"January 1, 2024",FLEX,Germany,"#174,780 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #227 in Flap Discs",Grey/Black,FA302007,2.64 ounces,$15.99,$25.67,$19.28,13
2.36 x 0.39 x 3.74 inches,B000244Y9M,"October 17, 2003",No,Japan,"#184,970 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #206 in Sanding Disc Backing Pads",Factory,743036-3,3.53 ounces,$21.94,$26.55,$6.48,13
"12""L x 12""W",B08ZVLXYJ9,"September 30, 2022",Sungold Abrasives,Italy,"#461,962 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,348 in Power Sander Hook & Loop Discs",None,34105,9.6 ounces,$20.72,$28.90,$12.81,13
None,B003BYRNKM,None,PFERD,Germany,"#177,052 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #27 in Hand Files",None,12601000,0.72 ounces,$15.60,$26.64,$24.84,13
5.47 x 5.43 x 2.48 inches,B072126S5J,"June 6, 2017",01214,"Korea, Republic of","#482,474 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,388 in Power Sander Hook & Loop Discs",None,01214,9.6 ounces,$27.15,$27.54,$13.99,13
"5""L x 5""W",B085NQ1HLF,"August 13, 2021",uxcell,China,"#468,992 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,358 in Power Sander Hook & Loop Discs",None,a19122300ux0626,4.2 ounces,$15.76,$26.59,$11.12,13
"5""L x 3.75""W",B09Q7P98T3,"January 11, 2022",WEN,China,"#465,668 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,352 in Power Sander Hook & Loop Discs",Red,20401SP120,2.04 ounces,$7.00,$26.09,$0.00,13
None,B000VE6D9C,"August 14, 2009",No,Belgium,"#191,895 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #170 in Flap Wheels",Green,623485000,15.1 ounces,$53.95,$28.78,$20.46,13
5 x 5 x 0.9 inches,B000RGYAIK,"May 31, 2007",DEWALT,China,"#204,075 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #487 in Cut-Off Wheels",Multi,DW4544,8 ounces,$3.55,$27.06,$0.00,N/A
12.9 x 1 x 2 inches,B078NGQ8L8,"December 27, 2017",Stanley Black and Decker,None,"#211,279 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #493 in Cut-Off Wheels",Multi,None,None,$10.98,$28.53,$18.39,13
"9""L x 9""W",B0052IP99W,"May 4, 2011",Ivy Classic Industries,China,"#186,090 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #95 in Surface Grinding Wheels",None,41308,1.48 pounds,$15.11,$30.90,$26.84,13
None,B000EPTFTI,"April 1, 2004",Bosch,Italy,"#462,127 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,349 in Power Sander Hook & Loop Discs",Red,SR6R240,2.82 ounces,$7.50,$25.71,$0.00,13
5.25 x 7.75 x 1 inches,B00A157DNG,"November 1, 2012",Task,China,"#208,353 in Industrial & Scientific (See Top 100 in Industrial & Scientific)  #300 in Abrasive Wheel Brushes",None,T25658,4.3 ounces,$15.10,$26.07,$24.25,N/A
3.86 x 3.78 x 2.91 inches,B072JWJ2RV,"June 6, 2017",54211,"Korea, Republic of","#484,964 in Tools & Home Improvement (See Top 100 in Tools & Home Improvement)  #1,394 in Power Sander Hook & Loop Discs",None,54211,3.52 ounces,$16.20,$26.21,$11.14,13
