Dimension,ASIN,Date First Available,Manufacturer,Country of Origin,Best Sellers Rank,Color,Item Model Number,Item Weight,Price,AmazonGlobal Shipping,Estimated Import Charges,Day Delivered
23.2 x 15.3 x 10.09 inches,B073V923Z2,None,Fox Luggage,China,"#196,577 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #292 in Carry-On Luggage",None,F145-2TONEGREEN,7 Pounds,$55.99,$119.06,$96.29,13
13 x 9 x 20 inches,B015DC201G,None,Fox Luggage,China,"#125,158 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #200 in Carry-On Luggage",None,F145-CHARCOAL,2.95 Kilograms,$58.99,$146.31,$112.58,13
21 x 14 x 9.5 inches,B09F72QQH1,None,NAUTICA,Thailand,"#189,385 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #301 in Carry-On Luggage",None,NT-AB-521-NYOG,6.65 Pounds,$73.48,$118.20,$105.24,13
8.3 x 13.8 x 21.7 inches,B01MYZZIGB,"January 3, 2017","Thule, Inc.",None,"#147,023 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #228 in Carry-On Luggage",Mineral,None,3.5 Pounds,$187.46,$90.09,$151.49,13
15.7 x 16.1 x 29.5 inches,B07YH1VR5T,"September 27, 2019",Thule,None,"#122,227 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #194 in Carry-On Luggage",Black,None,9.7 Pounds,None,None,None,13
13 x 9 x 20 inches,B00BL9XDVC,None,No,China,"#101,710 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #161 in Carry-On Luggage",None,F145-PURPLE,7.5 Pounds,$67.35,$127.98,$107.21,13
11 x 9 x 17 inches,B07TGFBJFK,None,Leisure Merchandising Corp.,China,"#124,249 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #197 in Carry-On Luggage",None,9317 RCHR,1.8 Pounds,$49.99,$89.89,$77.36,N/A
13.8 x 8 x 19 inches,B00FB4X75U,None,Fox Luggage,China,"#57,750 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #107 in Carry-On Luggage",None,F2281-CHARCOAL,6 Pounds,$45.99,$116.72,$89.64,13
10 x 14.25 x 23 inches,B0BRT1DBV6,None,"Delsey Luggage, Inc.",China,"#101,291 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #303 in Carry-On Luggage",None,40239780502,6.7 Pounds,$133.12,$150.35,$154.67,13
14.75 x 10.5 x 23 inches,B0B6M7CDBH,None,"Delsey Luggage, Inc.",Thailand,"#68,134 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #210 in Carry-On Luggage",None,40328480500,5.7 Pounds,$107.41,$138.71,$134.54,13
13 x 8 x 15 inches,B0B1W155JR,None,London Fog,China,"#133,256 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #211 in Carry-On Luggage",None,1562 BLK,2.57 Kilograms,$119.99,$93.28,$116.89,13
19.5 x 12.6 x 30.9 inches,B08181YRHB,None,American Tourister,China,"#132,016 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #208 in Carry-On Luggage",None,127052-1041,11.46 Pounds,$159.69,$262.64,$229.44,13
22 x 14 x 9 inches,B08DP6G768,None,Kenneth Cole Reaction,China,"#59,727 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #237 in Carry-On Luggage",None,5717915,6.5 Pounds,$139.99,$133.61,$149.34,13
14 x 9 x 22 inches,B0BFJMVXY2,None,Sherpani,Vietnam,"#120,846 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #196 in Carry-On Luggage",None,Meridian,6.5 Pounds,$128.16,$126.99,$139.43,13
14.2 x 14.6 x 21.7 inches,B07YH2MZR7,"September 27, 2019",Thule,None,"#215,107 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #315 in Carry-On Luggage  #745 in Suitcases",Black,None,7.6 Pounds,$283.95,$168.22,$245.50,13
18 x 11 x 27 inches,B09VTG3F8N,None,Leisure Merchandising,China,"#157,101 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #241 in Carry-On Luggage",None,9725 LIL,8.9 Pounds,$149.22,$235.04,$208.95,13
8.25 x 13.25 x 16 inches,B07QYGJQLY,None,Travelpro International Inc.,China,"#296,047 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #401 in Carry-On Luggage",None,407187722,2.77 Kilograms,$171.79,$115.29,$156.61,13
14 x 8 x 21 inches,B09XN78F63,None,FUL,China,"#180,937 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #274 in Carry-On Luggage",None,HKFL0002AZ-650,5.99 pounds,$199.99,$117.82,$173.14,13
16.5 x 15.6 x 11.8 inches,B07FTNRD2F,None,Fox Luggage,China,"#80,349 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #135 in Carry-On Luggage",None,B02-SHARK,5.2 Pounds,$77.60,$113.49,$104.92,13
9.1 x 16.1 x 11.4 inches,B07TS9C13X,"July 2, 2019",Thule,None,"#360,746 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #459 in Carry-On Luggage",Black,None,2.6 Pounds,$125.95,$78.81,$112.29,13
22 x 13 x 32 inches,B09VTGW7TK,None,Leisure Merchandising,China,"#247,901 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #346 in Carry-On Luggage",None,9729 LIL,10.9 Pounds,$160.89,$249.23,$222.85,13
20 x 13 x 31 inches,B0BN4DW8B3,None,American Tourister,Cambodia,"#45,570 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #207 in Carry-On Luggage",None,143314-4321,10.4 Pounds,$179.99,$253.73,$235.55,13
7.9 x 12.2 x 17.3 inches,B07Y3ZX76D,"September 27, 2019",Thule,None,"#114,094 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #178 in Carry-On Luggage",Black,None,2.1 Pounds,$110.95,$82.63,$106.27,13
14.25 x 10 x 22 inches,B084LNRS81,None,U.S. Traveler,China,"#43,164 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #188 in Carry-On Luggage",None,US08120E22,6.32 Pounds,$80.08,$119.24,$109.35,13
13 x 9 x 20 inches,B07KWLZQTV,None,Fox Luggage,China,"#225,463 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #326 in Carry-On Luggage",None,F151-PUPPY,6.6 Pounds,$62.39,$123.16,$101.96,13
15.5 x 8.5 x 15 inches,B074BR39QZ,None,Fila Luggage -- Dropship,China,"#205,459 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #300 in Carry-On Luggage",None,BE-UD-4-BK,5.2 Pounds,$67.70,$79.31,$81.18,N/A
13 x 9 x 20 inches,B01DX0C7L8,None,Fox Luggage,China,"#408,956 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #496 in Carry-On Luggage",None,F145-GREY,2.95 Kilograms,$105.99,$125.16,$126.47,13
14 x 9.5 x 22.5 inches,B0BN4J9Q98,None,American Tourister,China,"#605,622 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #663 in Carry-On Luggage",None,144925-6914,7.28 Pounds,$114.06,$116.34,$126.08,13
23.2 x 15.3 x 10.09 inches,B073V9PD5H,None,Fox Luggage,China,"#59,319 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #102 in Carry-On Luggage",None,F145-NAVY,7 Pounds,$48.99,$121.55,$93.88,13
13 x 9 x 20 inches,B00LHI4Y0Q,None,Fox Luggage,China,"#173,531 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #263 in Carry-On Luggage",None,F145-LIME,2.95 Kilograms,$58.99,$126.13,$101.70,13
20 x 14 x 9.5 inches,B09YJ54HLZ,None,Leisure Merchandising,China,"#160,789 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #244 in Carry-On Luggage",None,9620 OLV,6.8 Pounds,$132.99,$147.00,$152.79,13
9 x 15 x 23 inches,B07FX2QZVX,None,Travelpro International Inc.,China,"#185,383 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #395 in Carry-On Luggage",None,412156102,132 Ounces,$175.11,$148.42,$176.24,13
14 x 9.75 x 21.25 inches,B00MQEVGKG,None,No,Indonesia,"#47,309 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #174 in Carry-On Luggage",None,00207180101,7.9 Pounds,$169.19,$122.04,$158.86,13
11 x 9 x 22 inches,B0CJLJ4J3Y,None,Travelers Club,China,"#95,981 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #177 in Carry-On Luggage",None,HS-87720-490,3.08 Kilograms,$39.00,$122.33,$88.91,N/A
13 x 9 x 20 inches,B00CBT5F5I,None,Fox Luggage,China,"#151,948 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #236 in Carry-On Luggage",None,F145-CARBON,6 Pounds,$55.99,$122.95,$98.41,13
14 x 10 x 20 inches,B0B1VY53Z3,None,London Fog,China,"#625,329 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #683 in Carry-On Luggage",None,1565 BLK,6.9 Pounds,$149.99,$143.71,$160.18,13
13.5 x 9 x 22 inches,B078962TJW,None,BeBe Luggage,China,"#423,537 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #515 in Carry-On Luggage",None,BE-PC-8021,6.5 Pounds,$92.40,$118.74,$115.74,N/A
15.35 x 9.84 x 22.05 inches,B00K4F4EZ8,None,Fox Luggage,China,"#422,831 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #514 in Carry-On Luggage",None,F151-HEART,6.6 Pounds,$74.37,$131.92,$113.16,13
21.7 x 14.2 x 8.7 inches,B09NX8DLSG,None,it luggage,China,"#196,190 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #291 in Carry-On Luggage",None,12-1519B08UOL18-M028,5.4 Pounds,$89.99,$149.53,$130.99,13
13.4 x 7.7 x 22.8 inches,B0CKD81QGR,None,it luggage,China,"#405,425 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #692 in Carry-On Luggage",None,22093508I-UOL19-S001,4.08 Pounds,$132.34,$144.64,$151.18,13
1 x 1 x 1 inches,B0B64CDTBS,None,Vera Bradley,Cambodia,"#229,510 in Clothing, Shoes & Jewelry (See Top 100 in Clothing, Shoes & Jewelry)  #329 in Carry-On Luggage",None,34986-481,6.15 Pounds,$164.50,$92.24,$140.29,13
