MainCategory,SubCategory,Product Name,Price,Link,Rating,Review
Arts & Crafts,Needlework,"DMC Embroidery Transfer Pen, Blue ",5.,https://www.amazon.com//DMC-U1539-Embroidery-Transfer-Blue/dp/B000W5HTX4/ref=sr_1_12?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-12,4.5,"2,225"
Arts & Crafts,Needlework,"DMC 6-Strand Embroidery Cotton Floss, Black (117-310) ",8.,https://www.amazon.com//DMC-6-Strand-Embroidery-Cotton-Floss/dp/B005X4T81A/ref=sr_1_16?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-16,4.6,785
Arts & Crafts,Needlework,"DMC 117F25HDC Embroidery Floss Pack 8.7yd, Home Decor 36/Pkg ",28.,https://www.amazon.com//DMC-Embroidery-Floss-8-7yd-Decor/dp/B001BLTV5W/ref=sr_1_17?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-17,4.8,"1,839"
Arts & Crafts,Needlework,"LatchKits Latch Hook Kit for Wall Hangings & Mini-Rugs - Unicorn - Craft Kit with Easy, Color-Coded Canvas, Pre-Cut Yarn & Latch Hook Tool - Perfect DIY Craft for Kids - Ages 6+ ",19.,https://www.amazon.com//LatchKits-Latch-Hook-Hangings-Mini-Rugs/dp/B06XRRN4VL/ref=sr_1_18?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-18,4.6,"4,570"
Arts & Crafts,Needlework,The Janlynn Corporation Cross-Stitch Needle Threader ,5.,https://www.amazon.com//Janlynn-Corporation-Cross-Stitch-Needle-Threader/dp/B00LSWT1N6/ref=sr_1_19?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-19,4.5,"1,500"
Arts & Crafts,Needlework,"DMC Cardboard Floss Bobbins, 56/Pkg ",3.,https://www.amazon.com//DMC-6101-Cardboard-Bobbins-56-Pack/dp/B004GJBHO4/ref=sr_1_20?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-20,4.7,"1,322"
Arts & Crafts,Needlework,"DMC 117-3371 Mouline Stranded Cotton Six Strand Embroidery Floss Thread, Black Brown, 8.7-Yard ",9.,https://www.amazon.com//DMC-117-3371-Stranded-Embroidery-8-7-Yard/dp/B00441TYXU/ref=sr_1_21?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-21,4.5,190
Arts & Crafts,Needlework,"Dimensions Needlepoint Kit, Sunflower and Ladybug Floral Needlepoint, 5"" x 5"" ",10.,https://www.amazon.com//Dimensions-Needlecrafts-Needlepoint-Sunflower-Ladybug/dp/B000FAFJQ0/ref=sr_1_22?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-22,4.4,"4,863"
Arts & Crafts,Needlework,"Boye Plastic Canvas and Yarn Needles, 5pc, Size 16 and 18, Medium, 5 Piece ",1.,https://www.amazon.com//Boye-35010051618WA-Plastic-Canvas-Needles/dp/B07KG7YVD8/ref=sr_1_23?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-23,4.6,682
Arts & Crafts,Needlework,DMC COLORCRD Needlework Threads 12-Page Printed Color Card ,8.,https://www.amazon.com//DMC-COLORCRD-Needlework-Threads-12-Page/dp/B001C1NMO2/ref=sr_1_24?dib=eyJ2IjoiMSJ9.CHlGFRWj7OsC5ufdHSeK9Yex3Rf2o_oboPlBIgugOf9hBAW3cda2SZu-exYyMWXRBvU4gMyQl3yDh82ugrEA8gLLhfMEZPzX12gAS000N2tNrCYoxzFbnpMfBa4OwyFYwldwYAgeX6zgWW-hxSrxwVxyoENWevIcnreOsTqrpg9nCxUH6JPM1py3kS6gbH761bPiu-Z9Ab5iAfGE_uigaDMSHY2z48cfzIm-eHnx4Sn7J7Zj06fnjrnfXcoQ-VnQ1GC_GHwPqZEUM6aVPQvI-Z9X3TR55dJwyP45WE4b2o4.tYmLFjGZ9ttKQrvT64Nx9Eb4uaAjEOUjOqCBbljUTKA&dib_tag=se&qid=1716749896&s=arts-crafts-intl-ship&sr=1-24,4.6,"1,592"
